Headline,URL,Publication Date,Author,Content
Israel allows foreign countries to parachute aid into Gaza,https://news.sky.com/story/israel-allows-foreign-countries-to-parachute-aid-into-gaza-13401638,,Communities correspondent,"Israel has said foreign countries can drop aid into Gaza from today.

A senior IDF official told Sky News on Friday: ""Starting today, Israel will allow foreign countries to parachute aid intoGaza.

""Starting this afternoon, the WCK organisation began reactivating its kitchens.""

Sir Keir Starmer has said the UK will now ""do everything we can"" to get supplies in via this route, but said this decision has come ""far too late"".

Latest: Starmer to have 'emergency' Gaza call with France and Germany

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

Humanitarian aid organisation World Central Kitchenpaused its operationin Gaza in November after a number of its workers were killed in an Israeli airstrike last year.

Aid workers in Gaza - who help provide food, medicine and shelter for the millions displaced there - have been affected by the ongoing conflict between Israel andHamas.

The Gaza Humanitarian Foundation - anIsraeland US-backed organisation - has been distributing food packages in Gaza since the end of May, after Israel eased its 11-week blockade of aid into the territory.

More than 1,000 peoplehave reportedly been killedwhiletrying to receive food aidsince then, according to the UN, with the territory facing a starvation crisis.

Gaza's Hamas-run health ministry said on Friday that nine people have died of malnutrition in the past 24 hours.

In a post on Facebook, the ministry said a total of 122 people, including 83 children, have died because of a lack of food since the war began.

In the first two weeks of July, the UN children's agency UNICEF treated 5,000 children facing acute malnutrition in the Strip.

On Friday, the UN warned that Gaza was running out of specialised therapeutic foods to treat malnourished children.

Aid was air-dropped into the territory from military planes last year by countries, including Jordan, the US and the UK via the Royal Air Force, but humanitarian organisations warned it wasn't enough.

It is also a potentially dangerous way to deliver supplies, and in March 2024, five people were killed when an aid parachute failed and a parcel fell on them.

Communities correspondent

Israel says there is no famine in Gaza – so why is it sanctioning an urgent international aid drop by air, particularly when doing so safely also means having a temporary pause in its bombardment of Gaza.

The reality is – whatever the public message – Israel must be feeling the intense pressure from the international community and global aid organisations to ease its blockade.

The UN secretary-general has said starvation is knocking on every door in Gaza.  The F word – famine – is even being talked about on Israeli television channels.

We understand the Jordanian government is discussing playing a role in the aid drop and we already know that the UN says there is enough food stockpiled in Egypt and Jordan to feed Gazans for three months.

Yet it hasn't reached hungry mouths in Gaza because Israel stands accused of making it simply too difficult to transport aid by road around a dangerous conflict zone for organisations, including the UN, which are trying to step in in the face of claims that the main sites run by the Gaza Humanitarian Foundation have turned into ""death traps"".

Dropping large aid packages may be the quickest way to get food into Gaza, given the circumstances, but it is also very dangerous, because of the scramble that ensues amongst people trying to reach the supplies.

However, this sign of movement in the aid crisis comes after a desperate week for Gazans fighting to survive hunger in a war zone.

Israel will remind the world it stopped the old ways of aid distribution because it says aid was falling into the hands of the militant group Hamas, still holding 20 living Israeli hostages.

There have also been reports of people drowning while trying to reach supplies that had fallen into the sea.

Israel has been at war with Hamas in Gaza since the Palestinian militant grouprampaged through southern Israel, killing 1,200 people,and taking around 250 hostage,on 7 October 2023.

Israel has denied there is a food shortage in Gaza - despite earlier this week more than 100 aid agencies warning of mass starvation in Gaza - and claims it had to take control of the supply and distribution of aid because Hamas fighters have been stealing aid before it reached civilians. Hamas has denied this, as have some humanitarian groups, including USAID.

Responding to reports the IDF had previously fired at civilians while they tried to access aid in Gaza, the IDF said it ""categorically rejects the claims of intentional harm to civilians"". It added: ""For the sake of clarity, the army's binding orders prohibit forces operating in the area from intentionally firing at civilians.""

Read more:People in Gaza are 'walking corpses'Recognise Palestine, Starmer urgedIDF 'shooting Gazans in specific areas'

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

It said: ""We are aware of reports of casualties among those who arrived at the aid distribution sites. These incidents are under examination by the relevant IDF authorities. Any allegation of a violation of the law or regulations will be thoroughly investigated, including taking appropriate action if necessary.

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

""The IDF is working to facilitate and ease the distribution of humanitarian aid in the Gaza Strip by the Gaza Humanitarian Foundation (GHF) at the designated distribution centres, as well as through other international actors. These efforts are being conducted under difficult and complex operational conditions. As part of its operational conduct, the IDF draws lessons and conducts systematic learning processes in order to improve its operational response."""
"Waves, surprising songs and question-dodging: Trump's golfing visit to Scotland in full 'swing'",https://news.sky.com/video/waves-surprising-songs-and-question-dodging-trumps-golfing-visit-to-scotland-in-full-swing-13402116,,Author not found,Content not found.
Teenage maurderers run after killing 14-year-old boy in London machete attack,https://news.sky.com/video/teenage-maurderers-run-after-killing-14-year-old-boy-in-london-machete-attack-13401976,,Author not found,Content not found.
Why are some UK MPs angry with Sir Keir Starmer over Gaza?,https://news.sky.com/video/why-are-some-uk-mps-angry-with-sir-keir-starmer-over-gaza-13401945,,Author not found,Content not found.
Keir Starmer says 'humanitarian catastrophe in Gaza must end',https://news.sky.com/video/keir-starmer-says-humanitarian-catastrophe-in-gaza-must-end-13402000,,Author not found,Content not found.
Doctors are issuing warnings over illegal Botox-like injections - here's how to avoid them,https://news.sky.com/video/doctors-are-issuing-warnings-over-illegal-botox-like-injections-heres-how-to-avoid-them-13401822,,Author not found,Content not found.
Kids visit beach for first time as the number of parents who can't afford school trips rises,https://news.sky.com/video/kids-visit-beach-for-first-time-as-the-number-of-parents-who-cant-afford-school-trips-rises-13399778,,Author not found,Content not found.
Spike in botulism cases linked to illegal Botox-like injections,https://news.sky.com/video/spike-in-botulism-cases-linked-to-illegal-botox-like-injections-13401729,,Author not found,Content not found.
Turkey wildfires: Disaster zones declared,https://news.sky.com/video/turkey-wildfires-disaster-zones-declared-13401792,,Author not found,Content not found.
"Jay Slater suffered 'accidental death', inquest finds",https://news.sky.com/video/jay-slater-suffered-accidental-death-inquest-finds-13401901,,Author not found,Content not found.
Sarina Wiegman on the Euros final and The Lionesses as campaigners,https://news.sky.com/video/sarina-wiegman-on-the-euros-final-and-the-lionesses-as-campaigners-13401926,,Author not found,Content not found.
Donald Trump arrives for Scotland visit,https://news.sky.com/video/donald-trump-arrives-for-scotland-visit-13401907,,Author not found,Content not found.
Donald Trump: 'I like your Prime Minister',https://news.sky.com/video/donald-trump-i-like-your-prime-minister-13401900,,Author not found,Content not found.
War in Gaza: 'This is a man-made starvation',https://news.sky.com/video/war-in-gaza-this-is-a-man-made-starvation-13401306,,Author not found,Content not found.
What are the new online rules? Sky's Mickey Carroll explains,https://news.sky.com/video/what-are-the-new-online-rules-skys-mickey-carroll-explains-13401533,,Author not found,Content not found.
Evacuees discuss 'scary' conflict between Thailand and Cambodia,https://news.sky.com/video/hub-lynch-thailand-v3-mp4-13401633,,Author not found,Content not found.
Trump unveils plan to win AI race - but is it a 'tech bro' manifesto?,https://news.sky.com/video/trump-unveils-plan-to-win-ai-race-but-is-it-a-tech-bro-manifesto-13401256,,Author not found,Content not found.
Fears of wider conflict sparked by Thailand and Cambodia border clashes,https://news.sky.com/video/fears-of-wider-conflict-sparked-by-thailand-and-cambodia-border-clashes-13401212,,Author not found,Content not found.
Sky's Neville Lazarus looks at how good the new UK-India free trade deal really is,https://news.sky.com/video/skys-neville-lazarus-looks-at-how-good-the-new-uk-india-free-trade-deal-really-is-13401121,,Author not found,Content not found.
Resident doctors' strike explained,https://news.sky.com/video/resident-doctors-strike-explained-13400779,,Author not found,Content not found.
Euro 2025: What next for England's comeback queens?,https://news.sky.com/video/euro-2025-what-next-for-englands-comeback-queens-13400607,,Author not found,Content not found.
Who is Howard Phillips - the British man found guilty of volunteering to spy for Russia?,https://news.sky.com/video/who-is-howard-phillips-the-british-man-found-guilty-of-volunteering-to-spy-for-russia-13400231,,Author not found,Content not found.
The group making a whites-only community in Arkansas,https://news.sky.com/video/the-group-making-a-whites-only-community-in-arkansas-13399835,,Author not found,Content not found.
Sky's Alex Crawford describes 'shocking' conditions of Syria hospital,https://news.sky.com/video/skys-alex-crawford-describes-shocking-conditions-of-syria-hospital-13399909,,Author not found,Content not found.
Man deported under Trump policy recalls 'constant beatings' in El Salvador prison,https://news.sky.com/video/man-deported-under-trump-policy-recalls-constant-beatings-in-el-salvador-prison-13400939,,Author not found,Content not found.
Prince George celebrates his 12th birthday with siblings in new royal video,https://news.sky.com/video/prince-george-celebrates-his-12th-birthday-with-siblings-in-new-royal-video-13400272,,Author not found,Content not found.
"Macron's statement on Palestine 'doesn't carry any weight', says Donald Trump",https://news.sky.com/video/macrons-statement-on-palestine-doesnt-carry-any-weight-says-donald-trump-13401738,,Author not found,Content not found.
Israeli military show journalists aid waiting inside Gaza as UN says people dying of hunger,https://news.sky.com/video/israeli-military-show-journalists-aid-waiting-inside-gaza-as-un-says-people-dying-of-hunger-13401435,,Author not found,Content not found.
TV cop helps arrest real-life thief,https://news.sky.com/video/tv-cop-helps-arrest-real-life-thief-13401445,,Author not found,Content not found.
'The war changed me': Malnutrition grips children in Gaza,https://news.sky.com/video/the-war-changed-me-malnutrition-grips-children-in-gaza-13401284,,Author not found,Content not found.
What do people think of Donald Trump's golf trip to Scotland?,https://news.sky.com/video/what-do-people-think-of-donald-trumps-golf-trip-to-scotland-13401254,,Author not found,Content not found.
CEO of Astronomer resigns after Coldplay concert video,https://news.sky.com/video/ceo-of-astronomer-resigns-after-coldplay-concert-video-13399028,,Author not found,Content not found.
Asylum hotels: Epping reacts as police deny protest claims,https://news.sky.com/video/asylum-hotels-epping-reacts-as-police-deny-protest-claims-13400903,,Author not found,Content not found.
Moment killer Daniel Gunter was arrested as father found guilty of murdering two-week old son in hospital,https://news.sky.com/video/moment-killer-daniel-gunter-was-arrested-as-father-found-guilty-of-murdering-two-week-old-son-in-hospital-13401259,,Author not found,Content not found.
Jeremy Corbyn and Zahra Sultana have launched a new party - What do we know?,https://news.sky.com/video/jeremy-corbyn-and-zahra-sultana-have-launched-a-new-party-what-do-we-know-13401369,,Author not found,Content not found.
Who is England's teenage superstar Michelle Agyemang?,https://news.sky.com/video/who-is-englands-teenage-superstar-michelle-agyemang-13400771,,Author not found,Content not found.
Trump Scotland visit: Thousands of police set to line the streets in 'significant operation',https://news.sky.com/video/trump-scotland-visit-thousands-of-police-set-to-line-the-streets-in-significant-operation-13400186,,Author not found,Content not found.
Who are the Druze and Bedouin groups that are fighting in Syria?,https://news.sky.com/video/who-are-the-druze-and-bedouin-groups-that-are-fighting-in-syria-13399904,,Author not found,Content not found.
What's the deal with wealth taxes?,https://news.sky.com/video/whats-the-deal-with-wealth-taxes-13399792,,Author not found,Content not found.
'Let's be kind!: Harry Potter actress Miriam Margolyes calls for inclusivity regarding J K Rowling transgender row,https://news.sky.com/video/lets-be-kind-harry-potter-actress-miriam-margolyes-calls-for-inclusivity-regarding-j-k-rowling-transgender-row-13400078,,Author not found,Content not found.
Water: Landmark report into 'broken' water industry - what you need to know,https://news.sky.com/video/water-landmark-report-into-broken-water-industry-what-you-need-to-know-13399781,,Author not found,Content not found.
Oasis photographers remember the early days: 'The journalist had to take a week off afterwards!',https://news.sky.com/story/oasis-photographers-remember-the-early-days-the-journalist-had-to-take-a-week-off-afterwards-13400664,,,"It was a cold, typically rainy Manchester evening, October 1993, when Michael Spencer Jones set out to meet a new guitar band he had been commissioned to photograph.

The weather was miserable, he didn't know their music, wasn't totally in the mood. ""I had to drag myself from home, thinking: is it going to be worth the trouble?""

On the drive to the Out Of The Blue studio in Ancoats, on the outskirts of the city centre, a song he'd never heard before came on the local radio station. ""It was like, wow, what is that?"" The track was Columbia, byOasis, the band he was on his way to meet.

He started to get excited.

Spencer Jones had previously metNoel Gallagherduring the musician's time as a roadie for fellow Manchester band Inspiral Carpets. But notLiam.

""As a photographer, obviously, the aesthetic of a band is massively important,"" he says as he recalls that first shoot. ""I'm just looking down the camera lens with a certain amount of disbelief.""

In front of him was a 21-year-old, months before the start of the fame rollercoaster that lay ahead. And yet. ""I was looking at a face that just seemed to embody the quality of stardom.""

'Success was inevitable'

It was the start of a partnership that continued throughout the band's heyday, with Spencer Jones shooting the covers for their first three albums, their most successful records, and the singles that went with them.

""You work with bands pre-fame and there's always that question: are they going to make it? With Oasis there was never that question. Their success was inevitable.""

There was a confidence, even in those early days. ""Incredible, intoxicating confidence. [They were] not interested in any kind of social norms or social constraints.""

It wasn't arrogance, he says, of a criticism sometimes levelled at the Gallaghers. ""They just had this enormous self-belief.""

Spencer Jones was one of several photographers who followed the band, capturing the moments that became part of rock history.

'Noel had an uncanny intuition'

Jill Furmanovsky, who started working with Oasis towards the end of 1994, a few months after the release of debut album Definitely Maybe, says Noel always seemed aware their time together should be documented.

""An uncanny intuition, really, that it was important,"" she says. ""I think Noel has been aware right from the start, because for him that's what he used to look at when he used to buy his Smiths records or Leo Sayer or whatever, he would stare at the covers and be fascinated by the pictures.""

Contrary to popular belief, Furmanovsky says the brothers got on fairly well most of the time, ""otherwise they wouldn't have been able to function"".

She picks one shoot in 1997, around the release of their third album, Be Here Now, as one of the more memorable ones. Noel had shared his thoughts about the band on a chalkboard and ""they were having such a laugh.""

But when things did erupt, it became significant. ""There were tensions in some shoots but they never started hitting each other in front of me or anything like that. I used to complain about it, actually - 'don't leave me out of those pictures where you're really arguing!'.""

In Paris in 1995, tensions had boiled over. ""It's one of my favourites,"" she says of the shoot. ""It reflects not just the band but the family situation, these brothers in a strop with each other.""

What is notable, she says, is that they were happy for photographers to take candid shots, not just set up pictures to show them ""looking cool"". Pictures that on the surface might sound mundane, showing ""what they were really like - tensions, mucking about, sometimes yawning... This was the genius of Noel and [former Oasis press officer] Johnny Hopkins.""

Furmanovsky also notes the women who worked behind the scenes for Oasis - unusual at a time when the industry was even more male-dominated than it is now - and how they kept them in line.

Read more on Oasis:A high-five and the briefest hug: Oasis - the first reunion gigCool Britannia: Life in the UK in the '90sIt felt like it would never happen - but now, finally, Oasis are back

""They got on well working with women,"" she says. ""Maggie Mouzakitis was their tour manager for ages and was so young, but she ruled. For a band one could say were a bunch of macho Manchester blokes, they had a lot of women working in senior positions.""

This is down to the influence of their mum, Peggy, she adds. ""Absolutely crucial.""

Furmanovsky has been working with Noel on an upcoming book documenting her time with the band, and says she initially wanted to start with a picture of the Gallagher matriarch. ""Noel said to me, 'Jill, you do know she wasn't actually in the band?'""

Touring with Oasis - 'the journalist had to take a week off'

Kevin Cummins was commissioned to take pictures when Oasis signed to Creation Records, and it ""kind of spiralled out of control a little bit"", he laughs.

""I photographed them for NME, gave them their first cover. I photographed them in Man City shirts because we were all Man City fans, and City were at the time sponsored by a Japanese electronics company, Brother. It seemed a perfect fit.""

The early days documenting the band were ""fairly riotous"", he says. ""They were quite young, they were obviously enjoying being in the limelight.

""I remember we went on tour with them for three days for an NME 'on the road' piece, and the journalist who came with me had to take a week off afterwards.

""I dipped in and out of tours occasionally - I've always done that with musicians because I cannot imagine spending more than about seven or eight days on tour with somebody, it would drive you nuts. They're so hedonistic, especially in the early days. It's very, very difficult to keep up.""

Cummins says the relationship between Noel and Liam was ""like anybody's relationship, if you've got a younger brother - he'd get on your nerves.""

During the shoot for the City shirt pictures, he says, ""Liam kicked a ball at Noel, Noel pushed him, Liam pushed him back. They have a bit of a pushing match and then they stop and they get on with it.""

Another time, following a show in Portsmouth, ""as soon as we got [to the hotel] after the gig, Liam threw all the plastic furniture in the pool. Noel looked at him and said, 'where are we going to sit?' And he made him get in the pool and get all the furniture out. So there were like attempts at being rock and roll, and not quite getting it right sometimes.""

Cummins says he has ""very affectionate"" memories of working with Oasis. ""I've got a lot of very sensitive looking pictures of Liam and people are really surprised when they see them,"" he says. ""But he is a very sensitive lad... it's just he was irritating because he was younger and he wanted to make himself heard.""

Getting ready for the reunion

All three photographers have yet to see the reunion show, but all have tickets. All say the announcement last summer came as a surprise.

""There was an inkling of it, I suppose, just in the thawing of the comments between the brothers, but I still wouldn't have guessed it,"" says Furmanovsky, who has a book out later this year, and whose pictures feature in the programme. ""It's wonderful they have pulled it off with such conviction and passion.""

Cummins' work can be seen in a free outdoor exhibition at Wembley Park, which fans will be able to see throughout the summer until the final gigs there in September.

""I think the atmosphere at the gigs seems to have been really friendly... I like the idea that people are taking their kids and they're passing the baton on a little bit,"" he says. ""Everyone's just having a blast and it's like the event of the summer - definitely something we need at the moment.""

Spencer Jones, who released his second Oasis book, Definitely Maybe - A View From Within, for the album's 30th anniversary last year - adds: ""They really seem to be capturing a new generation of fans and I don't think a band has ever done that [to this extent] before. Bands from 20, 30 years ago normally just take their traditional fanbase with them.""

But he says his first thought when the reunion was announced was for the Gallaghers' mum, Peggy. ""I think for any parent, to have two children who don't talk is pretty tough,"" he says. ""It's that notion of reconciliation - if they can do it, anyone can do it.

""The fact they're walking on stage, hands clasped together, there's a huge amount of symbolism there that transcends Oasis and music. Especially in a fractured society, that unity is inspiring. Everyone's had a bit of a rough time since COVID, battle weary with life itself. I think people generally are just gagging to have some fun.""

Brothers: Liam And Noel Through The Lens Of Kevin Cummins is on at Wembley Park until 30 September. Definitely Maybe - A View From Within, by Michael Spencer Jones, available through Spellbound Galleries, is out now. Oasis: Trying To Find A Way Out Of Nowhere, by Jill Furmanovsky and edited by Noel Gallagher, published by Thames & Hudson, is out from 23 September."
"Sheer joy as kids see the sea for the first time, as cost of living's impact on school trips revealed",https://news.sky.com/story/rising-costs-and-tight-budgets-mean-school-trips-are-under-threat-even-though-some-kids-have-never-seen-the-sea-13401639,,Anjum Peerbacos,"It was an escape from the everyday and a glimpse of a world beyond the classroom.

Children from Rockliffe Manor Primary School in Plumstead, south London, headed for a day of seaside fun at Broadstairs Beach in Kent.

Some of them had never been to a beach before, and some had never even seen the sea.

I was invited to join the teachers and pupils on the trip.

Teachers were armed with first aid kits and the necessary supplies, including lunches and suncream.

Children in Year 1 arrived in their swimming costumes, with Spiderman and Minecraft ones being particularly popular.

The swimming costumes proved to be rather problematic when the children were told they needed to visit the toilets before embarking on the coach.

More on Cost Of Living

Economists say the cost of living crisis is over - here's why many households disagreeIs the cost of living crisis over? Here's what the data revealsBosses of Octopus Energy and SSE clash over 'postcode pricing' proposals

Economists say the cost of living crisis is over - here's why many households disagree

Is the cost of living crisis over? Here's what the data reveals

Bosses of Octopus Energy and SSE clash over 'postcode pricing' proposals

Related Topics:

Cost of living

They came armed with their buckets, spades and lilos.

The children were beside themselves with excitement, and it took an army of adults to get them there.

One parent said her son had been up since 5am because he was so excited about going to the seaside.

That sense of wonder is why 83% of parents say school trips help shape their child's future.

But with rising costs and shrinking school budgets, more of these opportunities are falling away.

A recent report said 94% of parents have been forced to cut back on spending due to the cost of living crisis.

As the tide rolled in and buckets filled with wet sand, the beach buzzed with energy. Children chased each other through shallow pools, buried their teachers up to their knees, and shrieked with delight every time a wave got too close.

Andrea Braithwaite, a parent on the trip, said: ""Sometimes parents don't necessarily have the means to get to places like this. We live in London, so it takes organisation, maybe they haven't got the time off work.""

There was giggling on the coach, and the sheer joy could be felt everywhere. There were storybooks for the long journey.

But once we got to the beach, the carefully orchestrated schedule that I was sent went out the window.

The children were in their element.

Miss Roper, one of the teachers, asked the children if they were ready to go into the water.

""Yes!"" they all screamed.

They all ran in - and some stayed in the water until much later in the afternoon.

Be the first to getBreaking News

Install the Sky News app for free

They just couldn't get enough.

Ms Braithwaite said: ""It's difficult to even have a swimming costume. You might not be able to have those things for their children so it's really good that the school arranged this day for them.""

The children were ecstatic, and according to the research, a staggering 97% say they get excited about school trips.

Headteacher Nancy Cook said: ""When we think about shared discussion and learning in the classroom, the children don't have reference points to pinpoint they're learning, too.

""It's really hard and becomes too abstract for them. So giving children opportunities, not only are they hugely exciting, but also become developmental points that they can build on in the future.""

There were sandcastles being built and ice creams being eaten.

And as we were getting ready for the trip back to London, one child had carefully scooped sand into an empty bottle. When asked why, he looked up at me and said softly: ""So I can remember this day forever.""

Read more from Sky News:Doctors in England go on strike for five daysImpact of NHS waits on patients revealed

Follow our channel and never miss an update

As the sun dipped behind the grey horizon and the children climbed back onto the coach, sand still clinging to their socks, one boy turned around and said: ""This was the best day ever.""

It was just a trip to the beach. But for many, it might be the only one."
What is Tea - the women-only app with millions of users?,https://news.sky.com/story/what-is-tea-the-women-only-app-with-millions-of-users-13401888,,"By Dylan Donnelly, news reporter","Millions of women in the US have downloaded a ""dating advice"" app that claims it catches catfish, checks for hidden marriages and keeps users safe from men online.

According to App Store tracker SensorTower.com, Tea Dating Advice has become the most popular free app in the US, and is the number one lifestyle download.

It also claimed earlier this week to have recently gained close to a million new users, and said on Instagram it has more than four million women ""in our community"".

However, the women-only app has come under fire for being ""anti-men"", and for a data breach that saw 13,000 user photos leaked.

But what is Tea? And why has it proved controversial?

What is the app?

Tea Dating Advice is a women-only app that allows users to anonymously post about men they are dating in the US.

The app's website says it was launched ""to give women the tools they need to date safely"" - and offers AI-powered reverse image searching to catch catfish using fake images on dating profiles.

It also offers phone number searching to check if men have ""hidden marriages"", background checks to look for criminal records, and a map of registered sex offenders.

While these features aren't unique to Tea - with most being publicly accessible - the app offers them in one package.

Tea also touts that it has ""the largest women's group chat in the US, where users share experiences, anonymous dating reviews, and support"".

Sean Cook, a Bay Area tech executive, founded and self-funded the app in 2023 because his mother was catfished and talked to men with criminal records while dating online.

Read more:'It's not you, it's dating': Where is modern love going wrong?

Who can use it?

Only women can use the app, which requires users to register by creating a username including location, birth date, a photo and official identification.

Tea says it deletes all photos after a review, where moderators approve or deny applications and verify if new users are women.

All users who get accepted are promised anonymity outside of the usernames they choose, and taking screenshots of what's in the app is also blocked.

Once approved, users can leave comments describing specific men as a ""red flag"" or ""green flag"", and share other information about them.

Comments on Tea's Instagram show that applications aren't that straightforward however, with a number of people saying it takes days to be approved.

While men cannot use the app, Tea says any takedown requests should be emailed to their support desk with their name, location, as much information as possible about the content in question, as well as a photo.

Read more from Sky News:New internet rules come into force - here's what is changingMan tells how he conned dozens of womenThe frustrated entrepreneurs taking on dating

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

What are the concerns?

Tea has faced a heavy backlash, with The Times calling it a ""man-shaming"" app, and a post in the MensRights subreddit saying it ""must be deleted"".

Much like the Facebook pages it resembles, the app has also been criticised for devolving into places for gossip or for spreading possible misinformation about people.

Sky's US partner network NBC News reported that judges in Illinois and California dismissed two defamation lawsuits filed by men who were posted in such Facebook groups.

Writing for the culture websiteDazed, Serena Smith said it's ""clear how an app like Tea could be abused"", noting doxxing - where private information about someone is shared online with malicious intent - and concerns about men ""who aren't abusers"" having their information published.

Speaking toFox 2, lawyer William Barnwell said men could have civil legal recourse if the posts affect their work, family life, or reputation as defamation might apply.

A male-only version of the app - Cheeky - has also been launched, offering anonymous chats about dating. It says on it's official Instagram that it's ""our response to the Tea App"".

However, NBC News reported the creator of Teaborn - a previous men-only alternative that climbed to number three in the free apps chart - had condemned its users for allegedly sharing revenge porn on that app.

What happened with the Tea data breach?

NBC News reported that thousands of accounts were leaked after a hacker managed to breach the company's database.

Tea has confirmed the leak to Sky News, and said it had identified ""unauthorised access to one of their systems and immediately launched a full investigation to assess the scope and impact"".

In preliminary findings, the company said the incident involved a legacy data storage system containing information from prior to February 2024.

Follow our channel and never miss an update

It is estimated that around 72,000 images - including approximately 13,000 images of selfies or selfies featuring a photo identification submitted during account verification and 59,000 images publicly viewable in the app from posts, comments and direct messages - were accessed.

""Protecting Tea users' privacy and data is their highest priority,"" it said. ""Tea is taking every necessary step to ensure the security of the platform and prevent further exposure.""

Posts on social media suggest the leak was first posted on 4chan and has been shared widely since then. Sky News has not independently verified any leaked information."
